230,116,1803
222,140,156
251,142,338
330,177,67
220,142,597
346,62,86
342,213,67
241,142,160
344,85,85
355,269,110
250,188,302
222,160,65
145,101,97
309,168,253
300,179,62
342,206,126
228,168,314
83,249,227
60,249,66
400,199,64
375,187,417
227,60,139
383,136,165
398,177,736
499,210,309
151,223,253
111,192,788
397,144,310
404,101,63
417,91,190
449,57,163
382,140,455
438,43,1390
183,40,206
151,24,232
165,52,65
166,62,797
198,52,348
389,169,549
172,239,277
192,230,644
239,214,277
332,263,65
334,249,260
275,289,224
355,312,226
435,324,378
406,57,114
106,123,127
148,134,189
129,127,274
29,192,190
69,275,933
108,230,214
211,303,126
141,303,261
232,272,337
163,273,65
128,280,137
219,179,97
201,186,95
304,40,85
197,237,217
245,190,77
211,139,328
246,134,2701
245,146,74
225,175,874
331,183,218
411,193,286
452,194,286
385,185,289
227,132,358
204,106,498
155,79,106
126,25,497
148,33,143
320,27,279
443,37,753
406,132,853
122,167,87
364,80,127
208,87,161
250,119,79
261,141,197
152,210,305
419,250,150
464,214,235
199,150,74
131,204,229
116,267,115
112,247,78
140,84,77
46,80,77
403,76,185
346,129,114
228,166,67
230,140,77
199,129,187
187,73,269
201,123,75
381,126,113
391,108,149
351,226,75
385,170,72
386,197,71
224,98,3150
284,157,234
352,178,112
211,151,370
115,238,293
85,193,747
158,163,141
339,155,261
151,93,1082
295,67,542
426,80,600
358,123,365
421,180,295
359,188,701
282,211,284
228,162,641
68,159,375
82,196,1190
157,276,462
282,152,104
270,152,776
85,156,286
113,192,1310
107,146,785
107,41,162
197,48,283
173,64,129
209,59,92
255,55,92
341,51,584
474,54,123
437,93,285
421,173,456
396,246,486
284,302,160
395,303,845
264,276,161
212,265,130
255,146,330
420,185,708
233,82,1830
152,58,95
129,43,659
382,39,222
425,41,619
361,208,1313
215,247,261
153,252,65
430,287,256
176,247,608
99,169,166
72,166,324
74,135,1074
2,114,195
59,131,163
234,116,190
